Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum
14667,USA,CO,Delta,Cretaceous,"""Blue Hill"" Member of Mancos Shale",,,,"NW1/4 NE1/4 sec. 20, T. 51N., R. 9W.","Pseudoperna bentonensis, Inoceramus sp. (probably I. fragilis) bit of an ammonite (probably Collignoniceras woollgari)",,Noe,7/9/2007,,,Olathe NW,38.67656,-107.90064,,,02/18/2014,,DN-168
10235,USA,UT,Garfield,Cretaceous,107 m above base of Masuk Shale,,,,"1250 fel, 1700 fsl, sec. 26, T. 31S., R. 8 E. West side of prominant butte at top of Blind Trail, at elevation 6000'","Viviparus Panguitchensis ? , Viviparus sp. form A , Viviparus sp. , Cf. Lioplacodes sp. , Physa sp. , Physidae : gen. sp. indet. , Gastropoda : indet. , Cf. Corbula sp.  ",,Ben E. Law,11-07-1975,CD-75-15D (John Hanley),Mt Ellen,Steele Butte,38.079,-110.99155,,,02/18/2014,"Viviparus Panguitchensis ? , Viviparus sp. form A , Viviparus sp. , Cf. Lioplacodes sp. , Physa sp. , Physidae : gen. sp. indet. , Gastropoda : indet. , Cf. Corbula sp.  ",BEL775
2567,USA,WY,Natrona,Cretaceous,30' below big bentonite in Steele shale.,Campanian,,,"West Salt Creek oil field SW1/4NE1/4 sec. 29, T. 40 N., R. 79 W.",Baculites,,W. A. Cobban,7/13/1960,0,,,43.40769,-106.3677,PP 550 B,,02/18/2014,Baculites,
2569,USA,WY,Natrona,Cretaceous,8' above the big bentonite bed in Steele shale.,Campanian,,,"West Salt Creek oil field SW1/4NE1/4 sec. 29, T. 40 N., R. 79 W.",Baculites,,"J. R. Gill, W. A. Cobban",7/13/1960,0,,,43.40769,-106.3677,PP 550 B,,02/18/2014,Baculites,
12932,USA,WY,Crook,Cretaceous,A little higher in the Gammon member,,,,"SE1/4NE1/4NE1/4 sec. 25, T. 56 N., R. 68 W. 44°48 ' 50 "" lat., 104°57 ' long",Baculites sp.,,P. L. Hansley,06.27.88,SPR-88-2D-6D,Cedar Ridge  ,,44.81389,-104.95,,,02/18/2014,Baculites sp.,CR-88-10
2127,USA,UT,Carbon,Cretaceous,About 10 feet above Aberdeen sandstone member of Blackhawk formation,Campanian,,,"Road cut in Soldier Canyon in NE1/4  sec. 18, T. 13 S., R. 12 E.",Anomia micronema Meek,,A. D. Zapp,5/25/1959,"F-59-11D, 18D",,,39.69916,-110.61202,,,02/18/2014,Anomia micronema Meek,
3298,USA,WY,Park,Cretaceous,About 10 feet above base of Claggett Formation,Campanian,,,"SW1/4 NE1/4 sec. 19, T. 58 N., R. 99 W. Same locality as D3297",Tellina? Sp.,,J. R. Gill,1961,0,,,44.99536,-108.85265,,,02/18/2014,Tellina? Sp.,
7774,USA,CO ,San Miguel,Cretaceous,About 100 ft above base of Mesaverde Formation ,Campanian,,,"SE1/4 SW1/4 sec. 19, T. 42 N., R. 13 W",Baculites sp.,,J. R. Gill ,9/17/1970,OF-70-9D,Lone Cone,,37.88289,-108.34887,,,02/18/2014,Baculites sp.,
3095,USA,Wyoming,Carbon,Upper Cretaceous,About 1053 feet above base of Steele shale.,"Campanian, Lower about 81.7 MY",,,"C. N 1/2 sec.23, T.19N., R.88W.","Ostrea sp., Baculites sp., Scaphites hippocrepis (Dekay), Scaphites aquilaensis Reeside",Scaphites hippocrepis,J.H. Smith,5/14/1905,0,,,41.6108,-107.2757,"PP 619, PP 667, MF-1548",,02/18/2014,"Ostrea sp., Baculites sp., Scaphites hippocrepis (Dekay), Scaphites aquilaensis Reeside",
5306,USA,UT,Kane,Cretaceous,About 130-135' above white sandstone bed in middle member of straight Cliffs formation,Campanian,,,"Center of SE¼, 9-40-5,",Cardium,,Fred Peterson,7/3/64; 9/29/65,,Straight Cliffs # 2 ,,37.34452,-111.36626,,,02/18/2014,Cardium,
