Column1,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew
16,3056,USA,WY,Teton,Cretaceous,About middle of Adaville formation.,Campanian,NA,,"T. 20 N., R. 117 W.",Corbula undifera Meek,,J.H. Smith,1961,0,,,41.7,-110.63,,,02/18/2014,Corbula undifera Meek,,Adaville
20,3115,USA,WY,Weston,Cretaceous,Adaville,Campanian,NA,,S1/2 Sec. 29 T17N R117W. from Adaville Fm 65' above sandstone Lot 6,Senis sp.,,J.H. Smith,1961,0,,,41.4232,-110.66516,,,02/18/2014,Senis sp.,,Adaville
21,3116,USA,WY,,Cretaceous,Adaville,Campanian,NA,,S1/2 Sec. 29 T17N R117W. from Adaville Fm 130' above sandstone Lot 7,Ostrea soleniscus Meek,,J.H. Smith,1961,0,,,41.4232,-110.66516,,,02/18/2014,Ostrea soleniscus Meek,,Adaville
22,2192,USA,WY,,Cretaceous,Adaville Formation,Campanian,NA,,"Highway cut in the NW1/4 NW1/4 NE1/4 sec. 17, T. 21 N., R. 116 W, Adaville formation, 30 feet above top of Lazeart sandstone member","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp",,"R. L. Armstrong, D. C. Noble",1959,,,,41.80585,-110.60554,,,02/18/2014,"Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp",,Adaville
23,1990,USA,WY,Lincoln,Cretaceous,"Adaville formation, 2,000 feet above base and 800 feet below top.",Campanian,NA,,"Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W.","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata",,"J.L. Rau, W. W. Rubey",08/03/1958,,Kemmerer,,41.70408,-110.63838,,,02/18/2014,"Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata",,Adaville
24,1991,USA,WY,Lincoln,Cretaceous,"Adaville formation, 2,300 feet above base and 500 feet below top.",Campanian,NA,,"Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W. Same locality as D1990.",Ostrea soleniscus,,"J.L. Rau, W. W. Rubey",08/03/1958,,Kemmerer,,41.70408,-110.63838,,,02/18/2014,Ostrea soleniscus,,Adaville
25,1992,USA,WY,,Cretaceous,"Adaville formation, 680 feet above base.",Campanian,NA,,"SE1/4 NW1/4 sec.22, T. 20 N., R. 117 W.",Ostrea coalvillensis,,Scott and Schneider,7/23/1958,,,,41.70407,-110.62821,,,02/18/2014,Ostrea coalvillensis,,Adaville
722,2412,USA,WY,Uinta,Cretaceous,"Near top exposed Adaville formation (2,900 +_ feet above the Lazeart sandstone.)",Campanian,NA,,"Fourteen miles east-northeast of Evanston, in center of N1/2NE1/4 sec. 29, T. 16 N., R. 118 W.","Proparreysia letsoni (Whitfield), Fusconaia sp., Tulotomops cf. T. thompsoni (Whit)",,"Jim Faber, 1959",1959,0,,,41.34032,-110.7437,,,02/18/2014,"Proparreysia letsoni (Whitfield), Fusconaia sp., Tulotomops cf. T. thompsoni (Whit)",,Adaville
52,8826,USA,AR,Hemstead,Cretaceous,Base of Annona Chalk of Dane (currently being mappad as Marlbrook by B. J. Clardy & Arkansas. Neol. Comm),Campanian,NA,,"East side of road and in field just east of road the SW1/4 NE1/4 NW1/4 sec. 8, T. 11 S., R. 26 W","Nostoceras, Baculites ",,"B. J. Clardy, R. E. Burkhholder, W. A. Cobban ",04/10/1973,,Columbua 7-1/2 quad,,33.807,-93.8098,,,02/18/2014,"Nostoceras, Baculites ",,Annona
340,9210,USA,AR,Howard,Cretaceous ,Float from lower part of Annona Chalk but higher thanD9209,Campanian,NA,,"From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.",Heteromopph ammonoids ,,"B.F.Clardy, R.E.Burkholder, and W.A. Cobban ",09/11/1974,CD-74-4D,Mineral Springs South,,33.7698,-93.93389,,,02/18/2014,Heteromopph ammonoids ,,Annona
