"","Column1","Dnum","Country","State","County","Age","Formation","Stage","Age_Date","AmmoniteZone","LocDescr","Resume_of_Fauna","IndexFossil","Collector","Date","EandR","Map","USGS7.5","Lat_Pub","Long_Pub","Reference","Comments","last_modified","Orig_Resume_Fauna","FieldNum","FormationNew","species"
"2",16,3056,"USA","WY","Teton","Cretaceous","About middle of Adaville formation.","Campanian",NA,"","T. 20 N., R. 117 W.","Corbula undifera Meek","","J.H. Smith","1961","0","","",41.7,-110.63,"","","02/18/2014","Corbula undifera Meek","","Adaville","Corbula undifera Meek"
"21",20,3115,"USA","WY","Weston","Cretaceous","Adaville","Campanian",NA,"","S1/2 Sec. 29 T17N R117W. from Adaville Fm 65' above sandstone Lot 6","Senis sp.","","J.H. Smith","1961","0","","",41.4232,-110.66516,"","","02/18/2014","Senis sp.","","Adaville","Senis sp."
"3",21,3116,"USA","WY","","Cretaceous","Adaville","Campanian",NA,"","S1/2 Sec. 29 T17N R117W. from Adaville Fm 130' above sandstone Lot 7","Ostrea soleniscus Meek","","J.H. Smith","1961","0","","",41.4232,-110.66516,"","","02/18/2014","Ostrea soleniscus Meek","","Adaville","Ostrea soleniscus Meek"
"4",22,2192,"USA","WY","","Cretaceous","Adaville Formation","Campanian",NA,"","Highway cut in the NW1/4 NW1/4 NE1/4 sec. 17, T. 21 N., R. 116 W, Adaville formation, 30 feet above top of Lazeart sandstone member","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","R. L. Armstrong, D. C. Noble","1959","","","",41.80585,-110.60554,"","","02/18/2014","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","Adaville","Ostrea coalvillensis"
"41",22,2192,"USA","WY","","Cretaceous","Adaville Formation","Campanian",NA,"","Highway cut in the NW1/4 NW1/4 NE1/4 sec. 17, T. 21 N., R. 116 W, Adaville formation, 30 feet above top of Lazeart sandstone member","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","R. L. Armstrong, D. C. Noble","1959","","","",41.80585,-110.60554,"","","02/18/2014","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","Adaville","Anomia gryphorhunchus"
"42",22,2192,"USA","WY","","Cretaceous","Adaville Formation","Campanian",NA,"","Highway cut in the NW1/4 NW1/4 NE1/4 sec. 17, T. 21 N., R. 116 W, Adaville formation, 30 feet above top of Lazeart sandstone member","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","R. L. Armstrong, D. C. Noble","1959","","","",41.80585,-110.60554,"","","02/18/2014","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","Adaville","Meek"
"43",22,2192,"USA","WY","","Cretaceous","Adaville Formation","Campanian",NA,"","Highway cut in the NW1/4 NW1/4 NE1/4 sec. 17, T. 21 N., R. 116 W, Adaville formation, 30 feet above top of Lazeart sandstone member","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","R. L. Armstrong, D. C. Noble","1959","","","",41.80585,-110.60554,"","","02/18/2014","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","Adaville","Brachidontes laticostata"
"44",22,2192,"USA","WY","","Cretaceous","Adaville Formation","Campanian",NA,"","Highway cut in the NW1/4 NW1/4 NE1/4 sec. 17, T. 21 N., R. 116 W, Adaville formation, 30 feet above top of Lazeart sandstone member","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","R. L. Armstrong, D. C. Noble","1959","","","",41.80585,-110.60554,"","","02/18/2014","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp","","Adaville","Corbicula? Sp Senis sp"
"5",23,1990,"USA","WY","Lincoln","Cretaceous","Adaville formation, 2,000 feet above base and 800 feet below top.","Campanian",NA,"","Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W.","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata","","J.L. Rau, W. W. Rubey","08/03/1958","","Kemmerer","",41.70408,-110.63838,"","","02/18/2014","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata","","Adaville","Ostrea cf. O. glabra"
"51",23,1990,"USA","WY","Lincoln","Cretaceous","Adaville formation, 2,000 feet above base and 800 feet below top.","Campanian",NA,"","Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W.","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata","","J.L. Rau, W. W. Rubey","08/03/1958","","Kemmerer","",41.70408,-110.63838,"","","02/18/2014","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata","","Adaville","Anomia cf. A. micronema"
